alpha,conflict,beta,error,addrcity,addrcountry,addrhousename,addrhousenumber,addrpostcode,addrstreet,amenity,building,name,ref,designation,int_name,buildinglevels,buildinglevelsunderground,namees,tourism,rooflevels,roofshape,description,start_datebuilding,leisure,note,phone,sport,website,buildinguse,brand,brandwikidata,brandwikipedia,fueldiesel,fuelGTL_diesel,fueloctane_95,fueloctane_98,opening_hours,source,sourcedate,alt_name,shop,product,office,studio,rental,repair,sale,wheelchair,construction,operator,start_date,landuse,email,fax,stars,addrprovince,nameen,smoking,wikipedia,service,architect,nameca,namezh,official_name,wikidata,toiletswheelchair,proposed,self_service,addrfull,contactphone,dispensing,healthcare,namefr,old_name,contactemail,emergency,internet_access,internet_accessfee,rooms,ele,highway,traffic_signals,crossing,traffic_signalsdirection,tactile_paving,button_operated,traffic_signalsvibration,traffic_signalssound,bicycle,crossingisland,bench,bus,passenger_information_display,public_transport,route_ref,shelter,bin,network,lanes,maxspeed,oneway,surface,sidewalk,parkinglaneboth,width,lit,tourist_bus,access,cycleway,parkinglaneleft,parkinglaneright,crossing_ref,bridge,layer,maxspeedtype,short_name,onewaybicycle,motor_vehicle,lanesbackward,lanesforward,handrail,incline,indoor,level
building,amenity building,school,yes,Barcelona,ES,Escola La Sedeta,321,8025.0,Carrer de SicÃ­lia,school,school,Escola La Sedeta,8039525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,amenity building,school,yes,Barcelona,ES,La Sedeta,67-73,8025.0,Carrer de la IndÃºstria,school,school,Institut La Sedeta,8040138.0,Institut La Sedeta,La Sedeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,amenity building,school,yes,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,amenity building,school,yes,,,,,,,,school,Escola de MÃºsica Eixample Joan Manuel Serrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,amenity building,school,yes,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,amenity building,school,yes,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,amenity building,school,yes,,,,341,8025.0,Carrer de Sardenya,,school,,,,,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,9,,Passatge de Carsi,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,11,,Passatge de Carsi,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,13,,Passatge de Carsi,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,3,,Passatge de Carsi,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,5,,Passatge de Carsi,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,7,,Passatge de Carsi,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,18,,Passatge de LeÃ³n,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,16,,Passatge de LeÃ³n,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,4,,Passatge de LeÃ³n,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,8,,Passatge de LeÃ³n,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
