alpha,conflict,beta,error,addrcity,addrpostcode,addrstreet,building,buildinglevels,image,loc_name,mapillary,name,namede,nameen,namees,namefr,namenl,namepcd,namezh,refUrbIS,rooflevels,tourism,wheelchair,wikidata,wikipedia,addrcityfr,addrcitynl,addrhousenumber,addrstreetfr,addrstreetnl,nameetymologywikidata,sourcegeometryref,sourcegeometryversion,contactwebsite,opening_hours,operator,sensortype,shop,surveillance,surveillanceoperator,surveillancetype,addrcountry,source,proposedname,construction,office,height,layer,location,min_height,level,roofmaterial,roofshape,brand,brandwikidata,brandwikipedia,contactfacebook,contactinstagram,fax,internet_access,internet_accessfee,phone,rooms,smoking,stars,start_date,website,air_conditioning,bar,reservation,amenity,contactphone,dispensing,healthcare,opening_hourssigned,description,contactlinkedin,outdoor_seating,brewery,craft,microbrewery,contactemail,note,cuisine,alt_name,toiletswheelchair,dietvegan,dietvegetarian,toilets,toiletsaccess,toiletsdescription,toiletsfee,old_name,sport,gay,alt_namees,denomination,religion,wikipedianl,operatorwikidata,internet_accessssid,operatortype,shelter_type,takeaway,area,bicycle,highway,lit,namear,nameit,nameja,namela,namelanguage,nameli,nameml,namevls,place,surface,wheelchairdescription,alt_nameen,barrier,heritagewebsite,historic,man_made,towertype,email,contactfax,short_name,crossing,crossingisland,tactile_paving,crossing_ref,button_operated,traffic_signalssound,direction,traffic_signals,traffic_signalsdirection,maxspeed,oneway,onewaybicycle,sourcemaxspeed,short_namefr,short_namenl,cyclewayright,lanes,lanespsv,parkingconditionright,parkinglaneleft,parkinglaneright,busway,sidewalk,cyclewayleft,onewaypsv,lane_markings,footwaysurface,cycleway,access,tunnel,service,foot,indoor,covered,conveying,footway,noname,bus,public_transport,emergency,horse,motor_vehicle,taxi,vehicle,route_ref
building,toilets:access surveillance building,public,yes,Bruxelles - Brussel,1000.0,Place de la Bourse - Beursplein,public,2.0,https://images.mapillary.com/G8HzHBp7dHJCapdMlSnBhU/thumb-2048.jpg,Beuzze,https://www.mapillary.com/map/im/G8HzHBp7dHJCapdMlSnBhU,Bourse - Beurs,BÃ¶rse,Stock Exchange,Bolsa,Bourse,Beurs,Bourse,å¸é²å¡å°è¯å¸äº¤ææ,8186511.0,1.0,attraction,no,Q28485845,en:Brussels Stock Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,toilets:access surveillance building,public,yes,Bruxelles - Brussel,1000.0,Place Saint-GÃ©ry - Sint-Goriksplein,public,,,,,Halles Saint-GÃ©ry - Sint-Gorikshallen,,,,Halles Saint-GÃ©ry,Sint-Gorikshallen,,,6051321.0,,,,,nl:Sint-Gorikshallen,Bruxelles,Brussel,1,Place Saint-GÃ©ry,Sint-Goriksplein,Q585739,Urbis/6051321,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building landuse,commercial,yes,,,,commercial,9.0,,,,Anspach Shopping,,,,,,,,8319367.0,,,yes,,,,,,,,,,,http://www.anspach-brussels.be/,Mo-Sa 10:00-19:00,AG Real Estate,wifi;bluetooth,mall,indoor,AG Real Estate,sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building landuse,commercial,yes,Bruxelles - Brussel,1000.0,Rue des Chartreux - Kartuizersstraat,commercial,,,,,Espace bizarre,,,,,,,,8187505.0,,,,,,Bruxelles,Brussel,19,Rue des Chartreux,Kartuizersstraat,,,,,,,,,,,,BE,http://www.yelp.com/biz/espace-bizarre-bruxelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,,office,yes,,,,office,,,,,Centre Monnaie - Muntcentrum,,,,Centre Monnaie,Muntcentrum,,,8314645.0,,,,,,,,,,,,,,,,,,,,,,,,OXY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,apartments,no,Brussel - Bruxelles,1000.0,Rue Antoine Dansaert - Antoine Dansaertstraat,apartments,7.0,,,,,,,,,,,,8318427.0,1.0,,,,,Bruxelles,Brussel,101,Rue Antoine Dansaert,Antoine Dansaertstraat,,,,,,,,,,,,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,apartments,no,Brussel - Bruxelles,1000.0,Rue de Flandre - Vlaamsesteenweg,apartments,,,,,,,,,,,,,6052351.0,,,,,,Bruxelles,Brussel,12,Rue de Flandre,Vlaamsesteenweg,,Urbis/6052351,6.0,,,,,,,,,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,apartments,no,,,,apartments,7.0,,,,,,,,,,,,8317223.0,1.0,,,,,,,,,,,Urbis/8317223,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,apartments,no,,,,apartments,7.0,,,,,,,,,,,,8318469.0,1.0,,,,,,,,,,,Urbis/8318469,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,apartments,no,,,,apartments,7.0,,,,,,,,,,,,8318135.0,1.0,,,,,,,,,,,Urbis/8318135,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
