alpha,conflict,beta,error,building,name,website,addrcity,addrstreet,addrhousenumber,amenity,buildinglevels,smoking,wheelchair,healthcare,namefr,namede,nameen,namees,nameit,namenl,namepl,namept,office,alt_name,addrpostcode,email,fax,healthcarecounselling,healthcarespeciality,opening_hours,phone,nameru,tourism,facebook,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,capacity,parking,access,fee,supervised,surface,operator,dispensing,nameold,wikidata,contactinstagram,emergency,park_ride,drive_through,paymentcash,paymentcredit_cards,paymentdebit_cards,designation,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,crossing,highway,crossing_ref,source,kerb,traffic_signalsdirection,traffic_signals,direction,lanes,taxi,lanesboth_ways,maxspeed,old_name,oneway,parkinglaneboth,service,parkinglane,FIXME,junction,bicycle,cycleway,foot,horse,noexit,sidewalk,parkinglaneleft,covered,parkinglaneright,destination,maxweight,motor_vehicle
building,building,commercial,yes,commercial,ETOLA - Energia TÃ©cnica SA,http://www.energiatecnica.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,commercial,yes,commercial,EdifÃ­cio KN10,,Luanda,Rua Guilherme Capelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,commercial,yes,commercial,Banco EconÃ³mico,https://www.bancoeconomico.ao/,Luanda,Avenida do 1Âº Congresso do MPLA (ex Avenida Alvaro Ferreira),8,bank,25.0,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,commercial,yes,commercial,Torres Dipanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,commercial,yes,commercial,Audiconta,,Luanda,Rua de Timor,45,,1.0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,commercial,yes,commercial,EdifÃ­cio Luanda Medical Center,,Luanda,Rua AmÃ­lcar Cabral (Largo Serpa Pinto),NÂº3,hospital,15.0,,,hospital,Luanda MÃ©dical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,commercial,yes,commercial,Imperio Pneus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,commercial,yes,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,commercial,yes,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,commercial,yes,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,commercial,yes,commercial,Avenca Plaza,,Luanda,Avenida Rei Katyavala (ex Coronel Artur de Paiva),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,commercial,yes,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,commercial,yes,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,amenity building,school,yes,school,Instituto MÃ©dio PolitÃ©cnico Alda Lara,,Luanda,Rua Bento Banha Cardoso,,,,,,,Institut Polytechnique Moyen Alda Lara,Alda Lara Polytechnische Sekundarschule,Alda Lara Polytechnic Secondary School,Instituto Medio politÃ©cnico Alda Lara,Istituto Politecnico Medio Alda Lara,Alda Lara Polytechnische Middelbare School,Alda Lara Politechnika Årednia,Instituto MÃ©dio PolitÃ©cnico Alda Lara,educational_institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,amenity building,school,yes,school,Escola 7 de Ensino PrimÃ¡rio,,Luanda,Rua de Lopes de Lima,,,,,,,,,,,,,,,,Escola Sete de Ensino PrimÃ¡rio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,amenity building,school,yes,school,Escola do 1Âº Ciclo do Ensino Secundario NÂº 1100 (Ex 3002),,Luanda,Avenida Lenine,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,amenity healthcare building,hospital,yes,hospital,,,Luanda,Rua da MissÃ£o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,amenity healthcare building,hospital,yes,hospital,ClÃ­nica Mutamba,,Luanda,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
