id,alpha,alphap,beta,error
65015263,building,roof:shape,apartments,no
68766758,building,roof:levels,yes,no
68766758,building,roof:material,yes,no
68766758,building,roof:shape,yes,no
68766758,building,wikipedia,yes,no
220144992,building,addr:province,office,no
220149012,building,roof:levels,office,no
220149025,building,service,retail,yes
220149029,building,leisure,industrial,yes
220149029,building,sport,industrial,yes
239567902,building,addr:city,retail,no
239567902,building,addr:housenumber,retail,no
239567902,building,addr:postcode,retail,no
239567902,building,addr:street,retail,no
239567902,building,architect,retail,yes
239567902,building,name:ca,retail,no
239567902,building,name:zh,retail,no
239567902,building,official_name,retail,no
239567902,building,opening_hours,retail,no
239567902,building,operator,retail,yes
239567902,building,wikidata,retail,no
239567902,building,wikipedia,retail,no
269445236,building,addr:city,industrial,no
269445240,building,name:en,office,no
269445240,building,name:es,office,no
269445240,building,opening_hours,office,no
269445240,building,phone,office,yes
269445240,building,smoking,office,yes
269445240,building,wikipedia,office,no
427835000,building,opening_hours,yes,no
428945695,building,studio,yes,yes
430250771,building,description,apartments,no
430253348,building,description,yes,no
430253348,building,ele,yes,yes
430253348,building,operator,yes,yes
430253348,building,rooms,yes,yes
430253348,building,stars,yes,yes
430253348,building,tourism,yes,yes
432381116,building,toilets:wheelchair,retail,no
432381116,building,wheelchair,retail,yes
436167068,building,brand,industrial,yes
436167068,building,brand:wikidata,industrial,yes
436167068,building,brand:wikipedia,industrial,yes
436167068,building,fuel:diesel,industrial,no
436167068,building,fuel:GTL_diesel,industrial,no
436167068,building,fuel:octane_95,industrial,no
436167068,building,fuel:octane_98,industrial,no
436167068,building,source,industrial,no
436167068,building,source:date,industrial,no
498307455,building,roof:shape,industrial,no
550271939,building,alt_name,industrial,no
651772271,building,end_date,yes,yes
653393767,building,amenity,office,yes
653393770,building,email,retail,yes
653581378,building,addr:country,yes,no
653581378,building,building:levels:underground,yes,no
653581378,building,consulate,yes,yes
653581378,building,country,yes,yes
653581378,building,diplomatic,yes,yes
653581378,building,office,yes,yes
655182333,building,start_date:building,apartments,yes
655191283,building,repair,industrial,yes
655191283,building,sale,industrial,yes
655191292,building,wheelchair,industrial,no
684764202,building,disused:building,yes,yes
684764234,building,name:en,retail,no
684764234,building,name:es,retail,no
992920180,building,foot,yes,yes
1845556400,building,fee,yes,yes
173643478,building,addr:housename,apartments,yes
209229183,building,name,residential,no
209229183,building,name:es,residential,no
320119920,building,name,apartments,no
366519407,building,source,apartments,no
459465564,building,name:es,yes,no
775772507,building,disused:building,apartments,yes
775894672,building,addr:postcode,yes,no
775894672,building,building:levels:underground,yes,no
1658425572,amenity,addr:postcode,cafe,no
2158865607,amenity,contact:phone,cafe,no
2158865607,amenity,contact:website,cafe,no
2158865607,amenity,name:ca,cafe,no
2158865607,amenity,name:es,cafe,no
2400689820,amenity,addr:city,restaurant,no
2400689820,amenity,smoking,restaurant,no
2400689820,amenity,takeaway,restaurant,no
4254685758,amenity,shop,cafe,no
5028979721,amenity,contact:facebook,cafe,no
6139033202,amenity,barrier,parking_entrance,yes
6532239885,amenity,entrance,restaurant,yes
6576044985,amenity,name:es,restaurant,no
6933492826,amenity,addr:full,bicycle_parking,no
655202662,amenity,colour,bench,no
655202662,amenity,material,bench,yes
992920180,amenity,building,parking_entrance,yes
992920180,amenity,foot,parking_entrance,yes
616483257,amenity,note,restaurant,no
616483277,amenity,alt_name,fast_food,no
616483277,amenity,delivery,fast_food,no
616483277,amenity,outdoor_seating,fast_food,no
1044859208,amenity,branch,fast_food,yes
1044859208,amenity,toilets,fast_food,no
1098044341,amenity,address,recycling,yes
1098044341,amenity,designation,recycling,yes
1098044341,amenity,name,recycling,no
1098044341,amenity,operator,recycling,yes
1098044341,amenity,recycling:batteries,recycling,no
1098044341,amenity,recycling:books,recycling,no
1098044341,amenity,recycling:cardboard,recycling,no
1098044341,amenity,recycling:cartons,recycling,no
1098044341,amenity,recycling:cooking_oil,recycling,no
1098044341,amenity,recycling:electrical_appliances,recycling,no
1098044341,amenity,recycling:green_waste,recycling,no
1098044341,amenity,recycling:magazines,recycling,no
1098044341,amenity,recycling:newspaper,recycling,no
1098044341,amenity,recycling:paper_packaging,recycling,yes
1098044341,amenity,recycling:plastic,recycling,no
1098044341,amenity,recycling:plastic_bottles,recycling,no
1098044341,amenity,recycling:plastic_packaging,recycling,no
1098044341,amenity,recycling:small_appliances,recycling,no
1098044341,amenity,recycling:waste,recycling,no
1098044341,amenity,recycling:wood,recycling,no
1098044341,amenity,source,recycling,no
1098044341,amenity,website,recycling,no
1361887243,amenity,addr:country,cafe,no
1361887243,amenity,smoking,cafe,no
1845455476,amenity,name:2010,bank,no
