id,alpha,alphap,beta,error
244497503,building,wikidata,apartments,no
244850815,building,phone:be,yes,yes
244850905,building,alt_name:en,yes,no
244850905,building,alt_name:es,yes,no
244850905,building,barrier,yes,yes
244850967,building,building:min_level,yes,no
244850967,building,height,yes,no
244850967,building,min_height,yes,no
244850967,building,note:height,yes,yes
244850974,building,name,apartments,no
244851015,building,currency:XLT,yes,yes
244851015,building,organic,yes,yes
244851015,building,pastry_shop,yes,yes
244851015,building,payment:cash:XLT-ZINN,yes,yes
244851035,building,brand,yes,yes
244851035,building,brand:wikidata,yes,yes
244851035,building,brand:wikipedia,yes,yes
244851035,building,brand:zh,yes,yes
244851035,building,name:zh,yes,no
244955711,building,contact:fax,yes,no
244955716,building,brewery,yes,yes
244955716,building,craft,yes,yes
244955716,building,microbrewery,yes,yes
244955721,building,fix_old_street,yes,yes
244955722,building,diet:vegan,yes,yes
244955722,building,diet:vegetarian,yes,yes
244955789,building,admin_level,yes,yes
244955789,building,description,yes,no
244955789,building,government,yes,yes
244955789,building,office,yes,yes
244955996,building,fax,yes,yes
244956051,building,old_name,yes,no
244956151,building,internet_access:fee,yes,yes
253568776,building,artwork_type,yes,yes
253568776,building,subject:wikidata,yes,yes
253568787,building,architect,yes,yes
253568808,building,disused:amenity,yes,yes
253568808,building,disused:denomination,yes,yes
253568808,building,disused:religion,yes,yes
253568819,building,leisure,yes,yes
256118205,building,description:fr,yes,no
256118205,building,description:nl,yes,no
256118205,building,social_facility,yes,yes
264142086,building,gay,yes,yes
264142093,building,obstruction:location,yes,yes
264142093,building,obstruction:type,yes,yes
264142093,building,sitting,yes,yes
306856262,building,name:es,yes,no
306856723,building,aatl:criteria,yes,yes
306856723,building,building:name,yes,no
306856723,building,building:name:fr,yes,yes
306856723,building,building:name:nl,yes,yes
306856723,building,heritage,yes,no
306856723,building,heritage:operator,yes,no
306856723,building,ref:aatl,yes,no
760801639,building,roof:material,yes,no
1009562824,building,fee,yes,yes
1009562824,building,level,yes,yes
1009562824,building,museum,yes,yes
1009562824,building,operator:type,yes,yes
1009562824,building,operator:wikidata,yes,no
22411052,building,alt_name:es,yes,no
22411052,building,historic,yes,yes
22411052,building,name:ru,yes,no
24376328,building,brand,yes,yes
24376328,building,brand:wikidata,yes,yes
24376328,building,brand:wikipedia,yes,yes
