id,alpha,alphap,beta,error
23872621,building,name:ko,yes,no
23906167,building,created_by,yes,yes
31871143,building,access,yes,yes
31871143,building,fee,yes,yes
31871143,building,parking,yes,yes
31871143,building,supervised,yes,yes
38575195,building,wikipedia,yes,no
38575195,building,wikipedia:es,yes,no
220953202,building,short_name,yes,no
346405531,building,cuisine,yes,yes
346405531,building,website,yes,no
352160587,building,roof:shape,yes,no
415366060,building,cargo,yes,yes
435893157,building,guest_house,yes,yes
471575110,building,internet_access:fee,yes,yes
539766321,building,shop,yes,yes
574597304,building,stars,yes,yes
23876232,building,operator:type,yes,yes
23880669,building,castle_type,yes,yes
23880669,building,heritage,yes,no
23880669,building,heritage:operator,yes,no
23880669,building,historic,yes,yes
23880669,building,ref:whc,yes,yes
23880669,building,whc:inscription_date,yes,yes
194910494,building,museum,yes,yes
194910494,building,tourism,yes,yes
194910508,building,landuse,yes,yes
236789361,building,roof:colour,yes,no
252175228,building,government,yes,yes
252175228,building,height,yes,no
253685074,building,public_transport,apartments,yes
259842696,building,building:colour,roof,no
259842696,building,note,roof,no
259842696,building,roof:colour,roof,no
353944375,building,building:flats,apartments,no
360422640,building,cuisine,yes,yes
405035261,building,club,yes,yes
437450782,building,social_facility,yes,yes
437450782,building,social_facility:for,yes,yes
437450994,building,denomination,yes,yes
437450994,building,religion,yes,yes
512608114,building,building_1,roof,yes
513753549,building,amenity,roof,yes
513753549,building,parking:condition,roof,yes
513753563,building,layer,roof,yes
686199182,building,addr:city,house,no
686199182,building,addr:street,house,no
343275727,amenity,capacity:disabled,parking,no
343275846,amenity,currency:CUC,bank,no
343275846,amenity,description:en,bank,no
343275846,amenity,description:es,bank,no
343275846,amenity,language:en,bank,no
343275846,amenity,language:es,bank,no
343277148,amenity,place_number,cafe,yes
343277561,amenity,short_name,bank,no
1037069389,amenity,alt_name,restaurant,no
1037069389,amenity,level,restaurant,yes
2471507430,amenity,addr:housename,cafe,yes
2652930887,amenity,name:ko,place_of_worship,no
3005901675,amenity,smoking,cafe,no
3529498097,amenity,wikipedia,bar,no
3654920577,amenity,delivery,fast_food,no
3654920577,amenity,takeaway,fast_food,no
3942873113,amenity,name:ko,atm,no
3942873114,amenity,name:it,bank,no
4151867493,amenity,name:ko,fast_food,no
4162442486,amenity,wheelchair,restaurant,no
4298533904,amenity,name:en,fast_food,no
4298667597,amenity,building,school,yes
4358616891,amenity,addr:postcode,school,no
4611578999,amenity,tourism,restaurant,yes
4619710489,amenity,name:it,bar,no
5008893923,amenity,name:ja,cafe,no
5008948921,amenity,delivery,restaurant,no
5087329346,amenity,breakfast,cafe,no
5087329346,amenity,description,cafe,no
5087329346,amenity,lunch,cafe,no
5087329346,amenity,takeaway,cafe,no
5087350458,amenity,currency:CUC,atm,no
5087350458,amenity,description,atm,no
5087350458,amenity,fee,atm,no
5331328650,amenity,name:es,bank,no
5438275857,amenity,contact:city,bank,yes
5438275857,amenity,contact:housenumber,bank,yes
5438275857,amenity,contact:postcode,bank,yes
5438275857,amenity,contact:street,bank,yes
5459479224,amenity,description,fast_food,no
5538739621,amenity,name:fr,bar,no
5559695326,amenity,name:de,bank,no
5559695326,amenity,name:en,bank,no
5909891185,amenity,shop,restaurant,no
6140710385,amenity,name:fr,restaurant,no
6199184922,amenity,description,bar,no
6399643185,amenity,addr:housenumber,school,no
6399643185,amenity,opening_hours,school,no
6549711385,amenity,internet_access,bar,no
6641815387,amenity,diet:vegetarian,fast_food,no
6681234387,amenity,name:ja,restaurant,no
7007085785,amenity,diet:vegan,bar,no
23906169,amenity,addr:city,place_of_worship,no
23906169,amenity,building:colour,place_of_worship,yes
31871143,amenity,building,parking,yes
31871143,amenity,building:levels,parking,yes
31871143,amenity,opening_hours,parking,no
31873268,amenity,name:zh,parking,no
36948767,amenity,addr:country,place_of_worship,no
36948767,amenity,name:ar,place_of_worship,no
36948767,amenity,name:en,place_of_worship,no
36948767,amenity,start_date,place_of_worship,no
38575195,amenity,wikidata,place_of_worship,no
38575195,amenity,wikipedia,place_of_worship,no
38575195,amenity,wikipedia:es,place_of_worship,no
210004035,amenity,addr:city,parking,no
210004035,amenity,addr:street,parking,no
290376830,amenity,building,bar,yes
414276911,amenity,building:levels,bank,yes
3592256982,amenity,takeaway,fast_food,no
4381119498,amenity,name:es,cafe,no
5075461224,amenity,name:es,fast_food,no
6767125386,amenity,opening_hours,school,no
8506997718,amenity,name:en,fast_food,no
9582029117,amenity,opening_hours,fast_food,no
353455620,amenity,operator,school,yes
360422640,amenity,addr:city,cafe,no
360422640,amenity,building,cafe,yes
513753549,amenity,building,parking,yes
513753549,amenity,parking:condition,parking,yes
2201541755,highway,mapillary,crossing,yes
2201541755,highway,source,crossing,no
2201541755,highway,survey:date,crossing,no
3047633854,highway,shelter,bus_stop,no
3257113965,highway,name:de,bus_stop,no
3257113965,highway,name:zh,bus_stop,no
4447017018,highway,ref,bus_stop,no
23860202,highway,short_name,primary,no
23861661,highway,old_name,primary,no
23870914,highway,lit,pedestrian,no
34570988,highway,layer,pedestrian,yes
34570988,highway,width,pedestrian,no
34965972,highway,name:en,pedestrian,no
34965972,highway,name:fr,pedestrian,no
34965972,highway,name:ko,pedestrian,no
34965972,highway,name:zh,pedestrian,no
34965972,highway,place,pedestrian,yes
34965972,highway,short_name,pedestrian,no
34965972,highway,tourism,pedestrian,yes
34965972,highway,wikidata,pedestrian,no
36922437,highway,layer,service,yes
36922437,highway,level,service,yes
210004028,highway,sidewalk,residential,no
210027795,highway,layer,residential,yes
260058450,highway,bicycle,service,no
260058450,highway,horse,service,no
288540374,highway,horse,pedestrian,no
370522958,highway,smoothness,primary,yes
539766217,highway,foot,pedestrian,no
781656960,highway,alt_name,primary,no
980710962,highway,maxspeed,primary_link,no
258610269,highway,direction,traffic_signals,no
455381234,highway,traffic_signals,traffic_signals,no
4170669341,highway,button_operated,crossing,yes
4170669341,highway,traffic_signals:sound,crossing,no
4170669341,highway,traffic_signals:vibration,crossing,no
4378370792,highway,description,bus_stop,no
23917092,highway,surface:note,residential,no
29732817,highway,lane_markings,secondary,no
290030960,highway,source:name,secondary,no
314369149,highway,smoothness,primary_link,yes
320498756,highway,lane_markings,primary,no
373846960,highway,traffic_signals:direction,secondary,no
388166701,highway,source,footway,no
419551353,highway,smoothness,footway,yes
419551432,highway,area,footway,no
421705630,highway,foot,secondary,no
439042730,highway,railway,footway,yes
462958367,highway,service,residential,no
