id,alpha,alphap,beta,error
64952131,building,architect,apartments,yes
64952131,building,start_date,apartments,no
67353449,building,name:ru,yes,no
67356863,building,addr:housename,yes,yes
67356892,building,heritage:ref,yes,yes
67356892,building,heritage:website,yes,yes
68568682,building,wheelchair,yes,yes
68568696,building,brewery,yes,yes
68568757,building,official_name,yes,no
68571250,building,email,yes,yes
68739427,building,disused:amenity,yes,yes
68739427,building,ref:FR:CNC,yes,Yes
68906580,building,source:name,yes,no
69074727,building,building:facade:material,yes,yes
69074727,building,leisure,yes,yes
69074727,building,min_height,yes,no
69863559,building,short_name,yes,no
69872804,building,building:use,yes,no
69872804,building,internet_access:fee,yes,yes
69872804,building,smoking,yes,yes
69872804,building,stars,yes,yes
69883469,building,rooms,yes,yes
69883469,building,wifi,yes,yes
69884235,building,source:architect,yes,yes
69884652,building,ref:FR:FINESS,yes,yes
69884652,building,social_facility,yes,yes
69884652,building,social_facility:for,yes,yes
69884652,building,source:ref:FR:FINESS,yes,yes
69884652,building,type:FR:FINESS,yes,yes
238842785,building,artwork_type,yes,yes
238842785,building,description:fr,yes,yes
238842785,building,note:fr,yes,yes
238842785,building,sculpture_type,yes,yes
854459034,building,olympicgames,yes,yes
854459034,building,end_date,yes,yes
45073393,building,fee,yes,yes
67699848,building,capacity,yes,yes
67699848,building,man_made,yes,no
67699848,building,operator,yes,yes
67699848,building,reservoir,yes,yes
69417387,building,cuisine,yes,yes
69417387,building,facebook,yes,yes
69417387,building,old_name,yes,no
70716871,building,contractor,yes,yes
70716925,building,name:fr,yes,no
77806864,building,office,yes,yes
77807488,building,email:presse,yes,yes
77807488,building,fax,yes,yes
77807488,building,phone:presse,yes,yes
79107062,building,description,apartments,no
79107062,building,name,apartments,no
79107062,building,operator,apartments,yes
79107062,building,phone,apartments,yes
79107062,building,shop,apartments,yes
79107062,building,website,apartments,no
107368405,building,opening_hours:covid19,yes,yes
164853780,building,denomination,yes,yes
164853780,building,religion,yes,yes
252111252,building,note:fr,yes,yes
912164285,building,information,yes,yes
912164285,building,survey:date,yes,no
64414723,building,alt_name,yes,no
64414723,building,operator,yes,yes
64414723,building,tourism,yes,yes
64414723,building,wikidata,yes,no
64414723,building,wikipedia,yes,no
64419195,building,building:levels,yes,no
64421445,building,website,yes,no
64422105,building,wheelchair,yes,yes
64425039,building,sport,yes,yes
223128200,building,religion,yes,yes
318359940,building,architect,yes,yes
505594107,building,roof:shape,yes,no
733128993,building,bench,yes,yes
795935561,building,addr:city,house,no
795935561,building,addr:postcode,house,no
795935561,building,addr:street,house,no
795935561,building,start_date,house,no
257081583,amenity,artist_name,post_box,yes
257081583,amenity,artwork_type,post_box,yes
257081583,amenity,tourism,post_box,yes
582550217,amenity,addr:city,bank,no
582550217,amenity,addr:postcode,bank,no
582550217,amenity,bank,bank,yes
582748454,amenity,old_name,cafe,no
797012546,amenity,description,drinking_water,no
913936511,amenity,wikidata,restaurant,no
918203774,amenity,artist_name,drinking_water,yes
918203774,amenity,wikimedia_commons,drinking_water,no
918205471,amenity,FIXME,drinking_water,yes
1191525591,amenity,layer,parking,yes
1262015777,amenity,disused:amenity,restaurant,yes
1262015777,amenity,old_name,restaurant,no
1264875584,amenity,shop,cafe,yes
1670553060,amenity,wheelchair,bank,no
2296255409,amenity,opening_hours:covid19,bank,no
2296255409,amenity,phone,bank,yes
2355464116,amenity,changing_table,cafe,no
2355464116,amenity,level,cafe,no
2355464116,amenity,toilets,cafe,no
2355464116,amenity,toilets:access,cafe,no
2355464116,amenity,toilets:disposal,cafe,no
2355464116,amenity,toilets:position,cafe,no
2363182980,amenity,contact:city,restaurant,yes
2363182980,amenity,contact:housenumber,restaurant,yes
2363182980,amenity,contact:postcode,restaurant,yes
2363182980,amenity,contact:street,restaurant,yes
2556375242,amenity,fixme,parking_space,no
2556375318,amenity,parking_space,parking_space,no
2613777945,amenity,capacity,restaurant,no
2613777945,amenity,note,restaurant,no
2639759450,amenity,source,bench,no
2920701031,amenity,sushi,restaurant,yes
3032793634,amenity,access,place_of_worship,no
3230176162,amenity,source:ref:FR:FINESS,pharmacy,yes
3266833091,amenity,addr:postcode,pharmacy,no
3435006721,amenity,contact:phone,restaurant,no
3435006721,amenity,contact:website,restaurant,no
3435006721,amenity,diet:vegan,restaurant,no
3435006721,amenity,organic,restaurant,no
4070085119,amenity,diet:vegetarian,cafe,no
4070085119,amenity,organic,cafe,no
4280997191,amenity,maxheight,parking,yes
4575410500,amenity,name:es,restaurant,no
4889944021,amenity,email,cafe,yes
4944559821,amenity,internet_access:fee,cafe,no
4944559821,amenity,official_name,cafe,no
5421912910,amenity,addr:country,restaurant,no
5421912910,amenity,email,restaurant,yes
5555805772,amenity,description,restaurant,no
5828922321,amenity,level,restaurant,no
5828922321,amenity,name:zh,restaurant,no
6016301694,amenity,note,bicycle_rental,no
6199474264,amenity,branch,cafe,yes
6199474264,amenity,contact:country,cafe,yes
6199474264,amenity,drink:tea,cafe,no
6199474264,amenity,fixme,cafe,no
6265813667,amenity,addr:city,bicycle_rental,no
6265813667,amenity,addr:housenumber,bicycle_rental,no
6265813667,amenity,addr:postcode,bicycle_rental,no
6265813667,amenity,addr:street,bicycle_rental,no
6265813667,amenity,fee,bicycle_rental,yes
6265813667,amenity,opening_hours,bicycle_rental,no
6265813667,amenity,phone,bicycle_rental,yes
6265813667,amenity,website,bicycle_rental,no
7149064985,amenity,bicycle,bicycle_parking,yes
7985363134,amenity,access,drinking_water,no
7985363134,amenity,bottle,drinking_water,no
7985363134,amenity,fee,drinking_water,yes
8579347757,amenity,fixme,bicycle_parking,no
8906616590,amenity,diet:gluten_free,restaurant,no
9278097680,amenity,contact:facebook,cafe,no
9377250517,amenity,internet_access,restaurant,no
64952290,amenity,addr:housenumber,place_of_worship,no
64952290,amenity,basilica,place_of_worship,yes
64952290,amenity,email,place_of_worship,yes
64955027,amenity,alt_name:de,place_of_worship,no
64955027,amenity,note,place_of_worship,no
65104255,amenity,historic,place_of_worship,no
65104255,amenity,source:heritage,place_of_worship,yes
65104255,amenity,start_date,place_of_worship,no
68568696,amenity,brewery,cafe,no
68568696,amenity,building,cafe,yes
69072238,amenity,architect,place_of_worship,yes
69072238,amenity,fax,place_of_worship,yes
69072238,amenity,source:architect,place_of_worship,yes
69072349,amenity,opening_hours,school,no
69072349,amenity,phone,school,yes
69072349,amenity,religion,school,yes
69073429,amenity,architect,school,yes
69073429,amenity,architect:wikipedia,school,yes
69073429,amenity,name:fr,school,no
69073429,amenity,name:it,school,no
69073429,amenity,start_date,school,no
104339985,amenity,building:levels,school,yes
112452790,amenity,attraction,place_of_worship,yes
112452790,amenity,building:colour,place_of_worship,yes
112452790,amenity,comment,place_of_worship,yes
112452790,amenity,name:de,place_of_worship,no
112452790,amenity,name:fr,place_of_worship,no
112452790,amenity,name:sk,place_of_worship,no
112452790,amenity,name:zh,place_of_worship,no
112452790,amenity,reservation,place_of_worship,no
112452790,amenity,roof:colour,place_of_worship,yes
112452790,amenity,source:building:colour,place_of_worship,yes
112452790,amenity,source:height,place_of_worship,yes
112452790,amenity,source:roof:colour,place_of_worship,yes
185354803,amenity,operator,school,yes
373833224,amenity,surface,parking,yes
688713632,amenity,electrified,parking,yes
253041365,amenity,diet:vegan,restaurant,no
253041365,amenity,organic,restaurant,no
573456313,amenity,price,toilets,yes
701428639,amenity,addr:country,theatre,no
701428639,amenity,addr:state,theatre,no
701428639,amenity,survey:date,theatre,no
734869011,amenity,alt_name,pharmacy,no
1697073915,amenity,description,theatre,no
1741247144,amenity,description,restaurant,no
1865299718,amenity,contact:city,restaurant,yes
1865299718,amenity,contact:housenumber,restaurant,yes
1865299718,amenity,contact:postcode,restaurant,yes
1865299718,amenity,contact:street,restaurant,yes
1919225886,amenity,delivery:covid19,fast_food,yes
1919225886,amenity,drive_through:covid19,fast_food,yes
1919226716,amenity,internet_access,restaurant,no
1920885246,amenity,source,cafe,no
1920885246,amenity,source:amenity,cafe,yes
1920885246,amenity,source:name,cafe,no
2038629581,amenity,opening_hours:signed,bar,yes
2483387635,amenity,level,cafe,no
2483387635,amenity,outdoor_seating,cafe,no
2483387635,amenity,toilets,cafe,no
2549713051,amenity,note,parking_space,no
2927795613,amenity,opening_hours,bank,no
2991169114,amenity,note,bar,no
2991169114,amenity,website,bar,no
3039093589,amenity,capacity,restaurant,no
3039093589,amenity,opening_hours:signed,restaurant,yes
3286282643,amenity,wheelchair,pharmacy,no
3286368375,amenity,addr:city,pharmacy,no
3421389917,amenity,official_name,bank,no
3421389917,amenity,official_name:en,bank,no
3421389917,amenity,official_name:fr,bank,no
3421389917,amenity,operator,bank,yes
3421389917,amenity,operator:en,bank,yes
3421389917,amenity,operator:fr,bank,yes
3421389917,amenity,operator:wikidata,bank,no
3421389917,amenity,operator:wikipedia,bank,no
3437272462,amenity,lgbtq,theatre,yes
3437272462,amenity,name:zh,theatre,no
3437272462,amenity,theatre:genre,theatre,no
3765617815,amenity,access,toilets,no
4085226480,amenity,organic,fast_food,no
4741338821,amenity,name:es,restaurant,no
4754729626,amenity,toilets:wheelchair,bar,no
4754729626,amenity,wheelchair:description,bar,no
4843656921,amenity,addr:housenumber,pharmacy,no
4843656921,amenity,addr:street,pharmacy,no
4908791641,amenity,delivery,fast_food,no
4908791641,amenity,diet:vegan,fast_food,no
4908791641,amenity,diet:vegetarian,fast_food,no
4908791641,amenity,drive_through,fast_food,no
4919528221,amenity,wheelchair,fast_food,no
5030631223,amenity,bar,restaurant,no
5066109821,amenity,name:fr,theatre,no
5066699922,amenity,name:fr,bank,no
5250338724,amenity,internet_access,fast_food,no
5440116702,amenity,delivery,restaurant,no
5596257350,amenity,website,cafe,no
5596257351,amenity,email,cafe,yes
5596257351,amenity,internet_access,cafe,no
5601983831,amenity,drive_through:covid19,restaurant,yes
5935034304,amenity,concert,bar,yes
5941386174,amenity,description:covid19,fast_food,no
5941386174,amenity,note,fast_food,no
5941386182,amenity,description,bar,no
5941386585,amenity,description,fast_food,no
6402823086,amenity,name:en,bar,no
7230329987,amenity,name:en,cafe,no
7426198203,amenity,opening_hours:covid19,bank,no
7426198203,amenity,phone,bank,yes
7426198203,amenity,source,bank,no
8044130945,amenity,diet:gluten_free,restaurant,no
8961420299,amenity,shop,cafe,yes
8961420307,amenity,tourism,cafe,yes
9055956987,amenity,takeaway:customer_container,restaurant,yes
9055956987,amenity,takeaway:lunchbox,restaurant,yes
69417387,amenity,building,restaurant,yes
69417387,amenity,building:levels,restaurant,yes
69417387,amenity,tourism,restaurant,yes
69417387,amenity,wikidata,restaurant,no
69417387,amenity,wikipedia,restaurant,no
77807488,amenity,architect,theatre,no
77807488,amenity,email,theatre,yes
77807488,amenity,email:presse,theatre,yes
77807488,amenity,fax,theatre,yes
77807488,amenity,phone:presse,theatre,yes
249580370,highway,name,traffic_signals,no
831157903,highway,name:RATP,bus_stop,no
831157903,highway,ref:FR:RATP,bus_stop,yes
831157903,highway,type:RATP,bus_stop,yes
993959768,highway,source:ref:FR:STIF,bus_stop,yes
2378135230,highway,sloped_curb,crossing,yes
2704168518,highway,button_operated,traffic_signals,no
2704168518,highway,traffic_signals:sound,traffic_signals,no
2704168518,highway,traffic_signals:vibration,traffic_signals,no
2733369683,highway,mapillary,crossing,yes
2733369683,highway,survey:date,crossing,no
8100147387,highway,description,traffic_signals,no
8827150946,highway,red_turn:straight:bicycle,traffic_signals,yes
8827181652,highway,red_turn:right:bicycle,traffic_signals,yes
5098563,highway,cycleway:left,pedestrian,no
5211271,highway,ref:FR:FANTOIR,service,yes
5211271,highway,source:name,service,no
5211271,highway,wikidata,service,no
49921452,highway,maxspeed:type,secondary,no
59848724,highway,name:br,residential,no
68904244,highway,sidewalk:left,tertiary,no
68904244,highway,sidewalk:right,tertiary,no
102219766,highway,service,pedestrian,no
102222882,highway,noname,residential,no
103196783,highway,source,secondary,no
106292188,highway,check_date:surface,pedestrian,yes
249506280,highway,cycleway,primary,no
268041557,highway,cycleway,tertiary,no
330437738,highway,foot,secondary,no
331201866,highway,turn:lanes:forward,primary,no
366461373,highway,bicycle:lanes:forward,secondary,no
366461373,highway,psv:lanes:forward,secondary,no
369434379,highway,oneway,footway,no
553722798,highway,was:cycleway:left,cycleway,yes
560033531,highway,layer,footway,yes
560033531,highway,tunnel,footway,no
572518387,highway,turn:lanes:forward,secondary,no
572518389,highway,parking:lane:both,secondary,no
572518393,highway,foot,tertiary,no
580105196,highway,access,footway,no
682050546,highway,bicycle:lanes,secondary,yes
682050546,highway,psv:lanes,secondary,yes
687775140,highway,parking:lane:left,residential,no
687775140,highway,parking:lane:right,residential,no
706989654,highway,maxheight,residential,no
725056224,highway,level,steps,yes
818050086,highway,temporary,cycleway,yes
891574208,highway,foot,pedestrian,no
1236682807,highway,name:fr,bus_stop,no
1482296179,highway,image,crossing,no
1482296179,highway,wheelchair,crossing,yes
2042462341,highway,bus_stop:type,bus_stop,yes
2042462341,highway,ref:FR:RATP,bus_stop,yes
2042462341,highway,source:name,bus_stop,no
2042462341,highway,source:position,bus_stop,no
2042462341,highway,type:RATP,bus_stop,yes
4949576926,highway,source,bus_stop,no
6159206034,highway,traffic_signals,traffic_signals,no
6159206034,highway,traffic_signals:direction,traffic_signals,no
6247477535,highway,lit,bus_stop,no
6539363621,highway,ref:FR:Open_Tour,bus_stop,yes
4039494,highway,traffic:hourly,residential,yes
4039494,highway,traffic:hourly:source,residential,yes
10662190,highway,maxspeed:type,residential,no
10662190,highway,wikidata,residential,no
10663123,highway,access,residential,no
10663123,highway,bicycle,residential,no
10663922,highway,cycleway,pedestrian,no
10663922,highway,oneway:bicycle,pedestrian,no
10664058,highway,lanes,pedestrian,no
10664058,highway,sidewalk,pedestrian,no
23369309,highway,motor_vehicle:conditional,service,no
23369311,highway,busway:right,residential,no
37263875,highway,covered,residential,no
37263875,highway,maxheight,residential,no
44356438,highway,busway,pedestrian,no
44356438,highway,source:name,pedestrian,no
44356438,highway,source:name:user,pedestrian,yes
45189748,highway,fixme,footway,no
45189748,highway,incline,footway,no
51352177,highway,maxlength,residential,no
51352177,highway,noname,residential,no
107634447,highway,motor_vehicle,residential,no
143407393,highway,oneway:psv,residential,yes
147200517,highway,foot,service,no
307905897,highway,width,steps,no
570241117,highway,noname,steps,no
686330505,highway,cycleway:right,primary,no
686330505,highway,sidewalk,primary,no
842282320,highway,smoothness,footway,yes
301642079,highway,note,crossing,no
1822940999,highway,note,bus_stop,no
2031032279,highway,traffic_calming,crossing,no
7475855087,highway,crossing_ref,traffic_signals,no
29901149,highway,zone:maxspeed,residential,yes
30003552,highway,bicycle,residential,no
30003552,highway,bicycle_road,residential,yes
30074707,highway,maxheight,residential,no
44284716,highway,motor_vehicle,residential,no
44784552,highway,foot,residential,no
44784552,highway,width,residential,no
64401778,highway,incline,footway,no
64401778,highway,smoothness,footway,yes
64401778,highway,wheelchair,footway,yes
139640960,highway,cycleway:right,residential,no
139640960,highway,cycleway:right:oneway,residential,no
175788885,highway,layer,footway,yes
175788885,highway,tunnel,footway,no
223128199,highway,access_control,residential,yes
223993377,highway,cycleway:right,unclassified,no
223993377,highway,cycleway:right:oneway,unclassified,no
223993377,highway,oneway:bicycle,unclassified,no
224671108,highway,old_name,footway,no
224671108,highway,ref:FR:FANTOIR,footway,yes
226000385,highway,source,tertiary,no
230096546,highway,cycleway:both,unclassified,no
643429793,highway,covered,service,no
653589241,highway,surface,cycleway,no
1011565311,highway,cycleway,cycleway,no
130102845,tourism,name:de,museum,no
130102845,tourism,name:fr,museum,no
130102845,tourism,toilets:wheelchair,museum,no
