id,alpha,alphap,beta,error
1447566610,building,alt_name:la,temple,no
1447566610,building,historic,temple,yes
1447566610,building,historic:civilization,temple,yes
1447566610,building,name,temple,no
1447566610,building,name:fr,temple,no
1447566610,building,name:la,temple,no
1447566610,building,official_name:la,temple,no
1447566610,building,wikidata,temple,no
1447566610,building,wikipedia,temple,no
23590989,building,inscription,yes,yes
23590989,building,name:ko,yes,no
23590989,building,name:lt,yes,no
23590989,building,name:nl,yes,no
23913953,building,name:ja,yes,no
23913953,building,name:pt,yes,no
23913953,building,name:sv,yes,no
23913953,building,name:uk,yes,no
49824161,building,historic,arch,yes
49824161,building,historic:civilization,arch,yes
49824161,building,layer,arch,yes
49824161,building,name,arch,no
49824161,building,name:cs,arch,no
49824161,building,name:en,arch,no
49824161,building,name:es,arch,no
49824161,building,name:fr,arch,no
49824161,building,name:it,arch,no
49824161,building,name:ru,arch,no
49824161,building,name:uk,arch,no
49824161,building,name:zh,arch,no
49824161,building,start_date,arch,no
49824161,building,wikidata,arch,no
49824161,building,wikipedia,arch,no
201942840,building,name:la,yes,no
375437284,building,addr:city,yes,no
375437284,building,addr:postcode,yes,no
375437284,building,email,yes,yes
375437284,building,phone,yes,yes
709011412,building,access,yes,yes
709011412,building,area,yes,yes
995618425,building,name,ruins,no
23442671,building,castle_type,yes,yes
23442671,building,name:fr,yes,no
23442671,building,name:ru,yes,no
52251976,building,building:levels,church,no
52251976,building,roof:shape,church,no
52510551,building,country,yes,yes
52510551,building,diplomatic,yes,yes
52510551,building,embassy,yes,yes
52510551,building,old_name,yes,no
52510551,building,target,yes,yes
60517009,building,importance,church,yes
130920753,building,architect,yes,yes
130920753,building,start_date,yes,no
130920810,building,contact:phone,yes,no
131235448,building,contact:facebook,yes,no
131235448,building,museum,yes,yes
131235448,building,operator:type,yes,yes
131235571,building,wikidata,apartments,no
131235571,building,wikipedia,apartments,no
159813255,building,addr:housenumber,apartments,no
200170131,building,alt_name,yes,no
201122801,building,government,yes,yes
201374573,building,loc_name,church,no
202076850,building,cuisine,yes,yes
203944602,building,name:la,church,no
203946249,building,community,church,yes
203946249,building,community:en,church,yes
203946249,building,community:fr,church,yes
203946249,building,community:gender,church,yes
218311271,building,brand,yes,yes
218311271,building,brand:wikidata,yes,yes
218311271,building,brand:wikipedia,yes,yes
334298311,building,addr:country,church,no
334298311,building,website,church,no
334674330,building,contact:website,yes,no
338042342,building,community:en,yes,yes
338042342,building,community:fr,yes,yes
338042342,building,community:it,yes,yes
338042342,building,community:la,yes,yes
354694124,building,barrier,yes,yes
581881892,building,building:min_level,yes,no
664935314,building,payment:cash,yes,yes
968822317,building,type,apartments,yes
23952083,building,architect:wikidata,yes,no
23952083,building,architect:wikipedia,yes,no
23952083,building,building:architecture,yes,no
23952083,building,government,yes,yes
23952083,building,name:hu,yes,no
23952083,building,office,yes,yes
23952083,building,old_name:de,yes,no
23952083,building,old_name:it,yes,no
23952083,building,wikimedia_commons,yes,yes
35027800,building,museum,yes,yes
35027800,building,name:zh,yes,no
35027806,building,castle_type,yes,yes
44522103,building,social_facility,yes,yes
44527959,building,alt_name,yes,no
44527961,building,image,yes,yes
112130595,building,operator,yes,yes
112132824,building,access,yes,yes
112132824,building,parking,yes,yes
112137587,building,name:be,yes,no
112137587,building,name:da,yes,no
112137587,building,name:ne,yes,no
112137587,building,toilets:wheelchair,yes,no
112482301,building,email,yes,yes
112482301,building,fax,yes,yes
112482301,building,healthcare,yes,yes
112482301,building,phone,yes,yes
168597192,building,addr:housenumber,yes,no
246418139,building,roof:orientation,yes,no
255907697,building,min_height,yes,no
661986023,building,landuse,yes,yes
661986023,building,military,yes,yes
662010527,building,shop,yes,yes
799694267,building,architect:erection,yes,yes
799694267,building,historic,yes,yes
799694267,building,historic:civilization,yes,yes
799694267,building,inscription,yes,yes
799694267,building,landmark,yes,yes
799694267,building,name:cs,yes,no
799694267,building,name:hi,yes,no
799694267,building,name:nl,yes,no
799694267,building,name:pl,yes,no
799694267,building,obelisk:height,yes,yes
799694267,building,obelisk:material,yes,yes
799694267,building,obelisk:size,yes,yes
799694267,building,roof:height,yes,no
251792639,amenity,image,drinking_water,yes
266310817,amenity,disused,drinking_water,yes
849786037,amenity,changing_table:location,toilets,yes
849786037,amenity,charge,toilets,no
849786037,amenity,toilets:disposal,toilets,yes
849786037,amenity,toilets:position,toilets,yes
849786037,amenity,unisex,toilets,no
1709280191,amenity,name:ru,drinking_water,no
3067591006,amenity,addr:country,cafe,no
3067591006,amenity,air_conditioning,cafe,no
3067591006,amenity,bar,cafe,no
3067591006,amenity,internet_access,cafe,no
3067591006,amenity,internet_access:fee,cafe,no
3067591006,amenity,operator,cafe,no
3067591006,amenity,payment:cash,cafe,no
3067591006,amenity,payment:mastercard,cafe,no
3067591006,amenity,payment:notes,cafe,no
3067591006,amenity,payment:visa,cafe,no
3067591006,amenity,ref:vatin,cafe,no
3067591006,amenity,smoking,cafe,no
4283615592,amenity,addr:city,restaurant,no
4283615592,amenity,opening_hours,restaurant,no
4692702292,amenity,name:en,cafe,no
