alpha,alphap,beta,Role
building,addr:housenumber,yes,Useful Combination
building,addr:street,yes,Useful Combination
building,building:levels,apartments,Useful Combination
building,addr:housenumber,apartments,Useful Combination
building,addr:postcode,apartments,Useful Combination
building,addr:street,apartments,Useful Combination
building,roof:levels,apartments,Useful Combination
building,building:levels:underground,apartments,Useful Combination
building,abandoned:building,yes,NonUseful Combination
building,name,industrial,Useful Combination
building,website,industrial,Useful Combination
building,name,office,Useful Combination
building,building:levels:underground,office,Useful Combination
amenity,addr:city,restaurant,Useful Combination
amenity,addr:housenumber,restaurant,Useful Combination
amenity,addr:postcode,restaurant,Useful Combination
amenity,addr:street,restaurant,Useful Combination
amenity,website,restaurant,Useful Combination
amenity,cuisine,restaurant,Useful Combination
amenity,wheelchair,restaurant,Useful Combination
amenity,internet_access,restaurant,Useful Combination
amenity,capacity,bicycle_parking,Useful Combination
amenity,bicycle_parking,bicycle_parking,Required Combination
amenity,covered,bicycle_parking,Useful Combination
amenity,addr:housenumber,cafe,Useful Combination
amenity,addr:street,cafe,Useful Combination
amenity,cuisine,cafe,Useful Combination
amenity,internet_access,cafe,Useful Combination
amenity,opening_hours,cafe,Useful Combination
amenity,capacity,bicycle_parking,Useful Combination
amenity,fee,bicycle_parking,Useful Combination
amenity,access,bicycle_parking,Useful Combination
amenity,covered,bicycle_parking,Useful Combination
amenity,bicycle_parking,bicycle_parking,Required Combination
amenity,addr:street,restaurant,Useful Combination
amenity,addr:housenumber,restaurant,Useful Combination
highway,crossing,traffic_signals,Useful Combination
highway,traffic_signals:direction,traffic_signals,Useful Combination
highway,crossing,crossing,Required Combination
highway,bicycle,crossing,Useful Combination
highway,tactile_paving,crossing,Useful Combination
highway,button_operated,crossing,Useful Combination
highway,name,footway,Useful Combination
highway,surface,footway,Useful Combination
highway,lit,footway,Useful Combination
highway,footway,footway,Required Combination
highway,tunnel,footway,Useful Combination
highway,indoor,footway,NonUseful Combination
highway,layer,footway,NonUseful Combination
highway,crossing_ref,footway,Useful Combination
highway,bicycle,crossing,Useful Combination
highway,crossing,crossing,Required Combination
highway,tactile_paving,crossing,Useful Combination
highway,crossing:island,crossing,Useful Combination
highway,crossing,traffic_signals,Useful Combination
highway,traffic_signals:direction,traffic_signals,Useful Combination
highway,lit,residential,Useful Combination
highway,name,footway,Useful Combination
highway,lit,footway,Useful Combination
highway,surface,footway,Useful Combination
highway,layer,footway,NonUseful Combination
highway,name:es,footway,Useful Combination
highway,footway,footway,Required Combination
