alpha,alphap,beta,Role
building,name,apartments,Useful Combination
building,operator,apartments,NonUseful Combination
building,mapillary,apartments,Useful Combination
building,addr:postcode,apartments,Useful Combination
building,survey:date,apartments,Useful Combination
building,addr:housenumber,yes,Useful Combination
building,addr:street,yes,Useful Combination
building,building:levels,yes,Useful Combination
building,name,yes,Useful Combination
building,mapillary,yes,Useful Combination
building,survey:date,yes,Useful Combination
building,office,yes,NonUseful Combination
building,amenity,yes,NonUseful Combination
building,building:levels,commercial,Useful Combination
building,name,commercial,Useful Combination
building,mapillary,commercial,Useful Combination
amenity,website,restaurant,Useful Combination
amenity,phone,restaurant,NonUseful Combination
amenity,mapillary,restaurant,Useful Combination
amenity,source,restaurant,Useful Combination
amenity,addr:postcode,restaurant,Useful Combination
amenity,building,restaurant,NonUseful Combination
amenity,mapillary,fast_food,Useful Combination
amenity,operator,bicycle_parking,Useful Combination
amenity,mapillary,bicycle_parking,Useful Combination
amenity,access,bicycle_parking,Useful Combination
amenity,covered,bicycle_parking,Useful Combination
amenity,source:position,bicycle_parking,Useful Combination
amenity,survey:date,bicycle_parking,Useful Combination
amenity,source,parking,Useful Combination
amenity,access,parking,Useful Combination
amenity,surface,parking,Useful Combination
amenity,mapillary,bench,Useful Combination
amenity,source:position,bench,Useful Combination
amenity,survey:date,bench,Useful Combination
highway,lamp_mount,street_lamp,Required Combination
highway,material,street_lamp,NonUseful Combination
highway,height,street_lamp,NonUseful Combination
highway,surface,service,Useful Combination
highway,winter_service,footway,Useful Combination
highway,footway,footway,Required Combination
highway,traffic_signals:sound,crossing,Useful Combination
highway,bicycle,crossing,Useful Combination
highway,source,street_lamp,Useful Combination
highway,lamp_ref,street_lamp,Useful Combination
highway,material,street_lamp,NonUseful Combination
highway,lamp_mount,street_lamp,Required Combination
highway,height,street_lamp,NonUseful Combination
highway,source,footway,Useful Combination
highway,surface,footway,Useful Combination
highway,width,footway,Useful Combination
highway,footway,footway,Required Combination
