alpha,alphap,beta,Role
building,source,church,Useful Combination
building,addr:street,yes,Useful Combination
building,name,yes,Useful Combination
building,tourism,yes,NonUseful Combination
building,addr:housenumber,yes,Useful Combination
building,historic,yes,Useful Combination
building,phone,yes,NonUseful Combination
building,website,yes,Useful Combination
building,wikidata,yes,Useful Combination
building,wikipedia,yes,Useful Combination
building,addr:city,yes,Useful Combination
building,addr:postcode,yes,Useful Combination
building,source,yes,Useful Combination
building,building:levels,yes,Useful Combination
building,shop,yes,NonUseful Combination
building,source,apartments,Useful Combination
building,building:levels,apartments,Useful Combination
building,historic,yes,NonUseful Combination
building,historic:civilization,yes,NonUseful Combination
building,name,yes,Useful Combination
building,ruins,yes,NonUseful Combination
building,source,yes,Useful Combination
building,building:part,yes,Useful Combination
building,name,yes,Useful Combination
building,name:it,yes,Useful Combination
building,name:de,yes,Useful Combination
building,name:en,yes,Useful Combination
building,name:fr,yes,Useful Combination
building,wikidata,yes,Useful Combination
building,source,yes,Useful Combination
amenity,check_date,drinking_water,Useful Combination
amenity,wheelchair,drinking_water,Useful Combination
amenity,check_date,drinking_water,Useful Combination
amenity,source,bench,Useful Combination
amenity,backrest,bench,Required Combination
amenity,name,fountain,Useful Combination
amenity,source,fountain,Useful Combination
amenity,name:en,fountain,Useful Combination
amenity,barrier,fountain,Useful Combination
amenity,access,parking,Useful Combination
amenity,parking,parking,Required Combination
tourism,name:ru,attraction,Useful Combination
tourism,name:zh,attraction,Useful Combination
tourism,wikidata,attraction,Useful Combination
tourism,wikipedia,attraction,Useful Combination
tourism,addr:street,attraction,Useful Combination
tourism,source,attraction,Useful Combination
tourism,wheelchair,attraction,Useful Combination
tourism,opening_hours,attraction,Useful Combination
tourism,name:de,attraction,Useful Combination
tourism,name:en,attraction,Useful Combination
tourism,amenity,attraction,NonUseful Combination
tourism,name:fr,attraction,Useful Combination
tourism,historic,attraction,NonUseful Combination
tourism,building,attraction,NonUseful Combination
tourism,denomination,attraction,NonUseful Combination
tourism,religion,attraction,NonUseful Combination
tourism,name,hotel,Useful Combination
tourism,addr:city,hotel,Useful Combination
tourism,addr:housenumber,hotel,Useful Combination
tourism,addr:postcode,hotel,Useful Combination
tourism,addr:street,hotel,Useful Combination
tourism,email,hotel,NonUseful Combination
tourism,operator,hotel,Useful Combination
tourism,phone,hotel,NonUseful Combination
tourism,website,hotel,Useful Combination
tourism,internet_access,hotel,Useful Combination
tourism,stars,hotel,Useful Combination
tourism,addr:country,hotel,Useful Combination
tourism,source,hotel,Useful Combination
tourism,wheelchair,hotel,Useful Combination
tourism,fax,hotel,NonUseful Combination
tourism,internet_access:fee,hotel,Useful Combination
tourism,smoking,hotel,Useful Combination
tourism,rooms,hotel,Useful Combination
tourism,contact:email,hotel,Useful Combination
tourism,brand,hotel,Useful Combination
tourism,level,hotel,NonUseful Combination
tourism,building,hotel,NonUseful Combination
tourism,building:levels,hotel,NonUseful Combination
tourism,email,guest_house,NonUseful Combination
tourism,phone,guest_house,NonUseful Combination
tourism,website,guest_house,Useful Combination
tourism,internet_access,guest_house,Useful Combination
tourism,wikidata,museum,Useful Combination
tourism,wikipedia,museum,Useful Combination
tourism,addr:city,museum,Useful Combination
tourism,addr:housenumber,museum,Useful Combination
tourism,addr:postcode,museum,Useful Combination
tourism,addr:street,museum,Useful Combination
tourism,email,museum,NonUseful Combination
tourism,phone,museum,NonUseful Combination
tourism,website,museum,Useful Combination
tourism,source,museum,Useful Combination
tourism,opening_hours,museum,Useful Combination
tourism,name:en,museum,Useful Combination
tourism,building,museum,NonUseful Combination
tourism,name:en,artwork,Useful Combination
tourism,subject:wikidata,artwork,Useful Combination
tourism,historic,artwork,NonUseful Combination
tourism,name,viewpoint,Useful Combination
tourism,wheelchair,viewpoint,Useful Combination
tourism,artwork_type,artwork,Required Combination
tourism,name,artwork,Useful Combination
tourism,name:de,artwork,Useful Combination
tourism,direction,artwork,NonUseful Combination
tourism,height,artwork,NonUseful Combination
tourism,historic,artwork,NonUseful Combination
tourism,memorial,artwork,NonUseful Combination
tourism,min_height,artwork,NonUseful Combination
tourism,subject:wikidata,artwork,Useful Combination
tourism,artist_name,artwork,Useful Combination
tourism,artist:wikidata,artwork,Useful Combination
tourism,colour,artwork,NonUseful Combination
tourism,name:hu,artwork,Useful Combination
tourism,source,artwork,Useful Combination
tourism,area,artwork,NonUseful Combination
highway,crossing,crossing,Required Combination
highway,tactile_paving,crossing,Useful Combination
highway,crossing_ref,crossing,Useful Combination
highway,button_operated,crossing,Useful Combination
highway,traffic_signals:sound,crossing,Useful Combination
highway,tactile_paving,bus_stop,Useful Combination
highway,shelter,bus_stop,Useful Combination
highway,bench,bus_stop,Useful Combination
highway,cycleway:right,tertiary,Useful Combination
highway,is_in:city,tertiary,Useful Combination
highway,old_name,tertiary,Useful Combination
highway,sidewalk,tertiary,Useful Combination
highway,source:maxspeed,tertiary,Useful Combination
highway,surface,tertiary,Useful Combination
highway,alt_name,tertiary,Useful Combination
highway,wikidata,tertiary,Useful Combination
highway,wikipedia,tertiary,Useful Combination
highway,source,steps,Useful Combination
highway,name,steps,Useful Combination
highway,lit,steps,Useful Combination
highway,surface,steps,Useful Combination
highway,incline,steps,Useful Combination
highway,is_in:city,residential,Useful Combination
highway,lanes,residential,Useful Combination
highway,maxspeed,residential,Useful Combination
highway,oneway,residential,Useful Combination
highway,sidewalk,residential,Useful Combination
highway,surface,residential,Useful Combination
highway,source,pedestrian,Useful Combination
highway,name,pedestrian,Useful Combination
highway,bicycle,pedestrian,Useful Combination
highway,lit,pedestrian,Useful Combination
highway,is_in:city,pedestrian,Useful Combination
highway,lanes,pedestrian,Useful Combination
highway,surface,pedestrian,Useful Combination
highway,wikidata,pedestrian,Useful Combination
highway,motor_vehicle,pedestrian,Useful Combination
highway,area,pedestrian,NonUseful Combination
highway,oneway:motor_vehicle,pedestrian,Useful Combination
highway,source,service,Useful Combination
highway,bus,service,Useful Combination
highway,name,service,Useful Combination
highway,access,service,Useful Combination
highway,lit,service,Useful Combination
highway,is_in:city,service,Useful Combination
highway,lanes,service,Useful Combination
highway,maxspeed,service,Useful Combination
highway,oneway,service,Useful Combination
highway,surface,service,Useful Combination
highway,tunnel,service,Useful Combination
highway,service,service,Required Combination
highway,motor_vehicle,service,Useful Combination
highway,psv,service,Useful Combination
highway,trolley_wire,service,Useful Combination
highway,foot,service,Useful Combination
highway,lanes:psv,service,Useful Combination
highway,cycleway:right,secondary,Useful Combination
highway,is_in:city,secondary,Useful Combination
highway,old_name,secondary,Useful Combination
highway,oneway,secondary,Useful Combination
highway,sidewalk,secondary,Useful Combination
highway,alt_name,secondary,Useful Combination
highway,wikidata,secondary,Useful Combination
highway,wikipedia,secondary,Useful Combination
highway,crossing,footway,Useful Combination
highway,crossing_ref,footway,Useful Combination
highway,source,footway,Useful Combination
highway,name,footway,Useful Combination
highway,lit,footway,Useful Combination
highway,surface,footway,Useful Combination
highway,layer,footway,NonUseful Combination
highway,tunnel,footway,Useful Combination
highway,footway,footway,Required Combination
highway,crossing_ref,crossing,Useful Combination
highway,name,pedestrian,Useful Combination
highway,lit,pedestrian,Useful Combination
highway,surface,pedestrian,Useful Combination
highway,wikipedia,pedestrian,Useful Combination
highway,name:it,pedestrian,Useful Combination
highway,name:la,pedestrian,Useful Combination
